SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,,
Fis-23465,1028,Cheilopogon,furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,,
Fis-29358,7,Coryphaena,equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,,
Fis-22711,35,Anguilla,anguilla,European eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,,
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,
Fis-22735,89,Acanthocybium,solandri,Wahoo,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-29290,130,Argyropelecus,aculeatus,Lovely hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-22832,142,Thunnus,alalunga,Albacore,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22833,143,Thunnus,albacares,Yellowfin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22836,146,Thunnus,obesus,Bigeye tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-49220,147,Thunnus,thynnus,Atlantic bluefin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-29447,216,Makaira,nigricans,Blue marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-164254,217,Istiompax,indica,Black marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-164253,219,Kajikia,albida,Atlantic white marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-163398,223,Kajikia,audax,Striped marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
